client_id,tranche_age,region,abonnement_type,anciennete_mois,mobilite,interets,categorie,prestation,prix,duree_min,niveau,mois,inscription,reinscription,statut
C001,70-79,Bretagne,Basique,7,Moyenne,"accompagnement,santé,administratif",Santé,Suivi médical,56.07,90,Facile,2025-02,1,0,Terminé
C002,60-69,Occitanie,Basique,11,Moyenne,loisirs,Loisirs,Atelier créatif,28.37,90,Facile,2025-03,1,1,Terminé
C003,70-79,Bretagne,Basique,20,Moyenne,"administratif,loisirs",Accompagnement,Visite à domicile,38.28,30,Facile,2025-12,1,1,Confirmé
C004,70-79,Auvergne-Rhône-Alpes,Premium,35,Faible,"santé,administratif",Accompagnement,Visite à domicile,21.88,60,Moyen,2025-02,1,1,Terminé
C005,70-79,Occitanie,Basique,39,Élevée,accompagnement,Accompagnement,Aide courses,36.86,30,Facile,2025-01,1,1,Terminé
C006,70-79,Auvergne-Rhône-Alpes,Basique,7,Moyenne,accompagnement,Loisirs,Atelier mémoire,74.9,30,Moyen,2025-02,1,1,Terminé
C007,70-79,Bretagne,Premium,39,Faible,"loisirs,accompagnement,administratif",Administratif,Accès numérique,65.65,60,Facile,2025-07,1,1,Terminé
C008,60-69,Occitanie,Basique,31,Moyenne,administratif,Santé,Suivi médical,52.39,30,Facile,2025-07,1,1,Confirmé
C009,80+,Bretagne,Basique,52,Moyenne,"santé,accompagnement",Accompagnement,Aide courses,39.08,30,Facile,2025-11,1,1,Terminé
C010,80+,Auvergne-Rhône-Alpes,Basique,36,Moyenne,"loisirs,santé",Santé,Suivi médical,44.23,60,Avancé,2025-04,1,1,Terminé
C011,70-79,Bretagne,Basique,16,Faible,"administratif,santé",Santé,Suivi médical,58.06,60,Facile,2025-12,1,1,Terminé
C012,70-79,Auvergne-Rhône-Alpes,Basique,16,Moyenne,santé,Loisirs,Atelier créatif,25.42,30,Facile,2025-11,1,1,Confirmé
C013,70-79,Auvergne-Rhône-Alpes,Basique,25,Moyenne,"santé,loisirs,administratif",Administratif,Accès numérique,76.2,30,Moyen,2025-09,1,1,Terminé
C014,80+,Auvergne-Rhône-Alpes,Basique,15,Moyenne,administratif,Administratif,Gestion courrier,73.83,30,Avancé,2025-07,1,1,Terminé
C015,70-79,Auvergne-Rhône-Alpes,Premium,53,Moyenne,"accompagnement,administratif,loisirs",Accompagnement,Transport,42.34,30,Moyen,2025-02,1,1,Terminé
C016,70-79,Bretagne,Basique,32,Faible,"loisirs,accompagnement",Accompagnement,Aide courses,52.55,90,Facile,2025-07,1,1,Terminé
C017,80+,Auvergne-Rhône-Alpes,Premium,26,Faible,administratif,Accompagnement,Aide courses,31.71,30,Facile,2025-04,1,1,Terminé
C018,60-69,Occitanie,Basique,45,Élevée,"loisirs,administratif,santé",Administratif,Aide démarches,53.17,90,Avancé,2025-01,1,1,Terminé
C019,60-69,Île-de-France,Basique,17,Moyenne,"administratif,santé,accompagnement",Accompagnement,Visite à domicile,56.9,60,Facile,2025-11,1,1,Terminé
C020,80+,Île-de-France,Premium,47,Moyenne,"accompagnement,santé",Santé,Suivi médical,24.9,90,Moyen,2025-04,1,1,Terminé
C021,80+,Occitanie,Premium,14,Faible,"loisirs,santé",Santé,Suivi médical,29.3,60,Facile,2025-10,1,0,Annulé
C022,60-69,Auvergne-Rhône-Alpes,Basique,32,Élevée,accompagnement,Loisirs,Sortie culturelle,52.44,90,Facile,2025-02,1,1,Terminé
C023,80+,Auvergne-Rhône-Alpes,Basique,54,Faible,"administratif,accompagnement",Loisirs,Atelier mémoire,23.49,60,Facile,2025-02,1,1,Confirmé
C024,60-69,Bretagne,Basique,15,Moyenne,"administratif,accompagnement,loisirs",Loisirs,Sortie culturelle,41.36,30,Facile,2025-12,1,1,Confirmé
C025,80+,Occitanie,Basique,15,Faible,accompagnement,Loisirs,Atelier créatif,22.88,60,Moyen,2025-02,1,1,Confirmé
C026,80+,Île-de-France,Basique,44,Faible,"administratif,accompagnement,santé",Accompagnement,Transport,68.06,60,Moyen,2025-01,1,1,Terminé
C027,80+,Auvergne-Rhône-Alpes,Premium,39,Élevée,accompagnement,Santé,Séance kiné,57.1,90,Facile,2025-08,1,1,Terminé
C028,70-79,Auvergne-Rhône-Alpes,Basique,3,Moyenne,"loisirs,accompagnement",Santé,Suivi médical,68.21,30,Moyen,2025-05,1,0,Terminé
C029,80+,Occitanie,Basique,38,Moyenne,"administratif,accompagnement,santé",Loisirs,Atelier mémoire,64.39,90,Facile,2025-01,1,1,Terminé
